Analysis Type:,PANTHER Overrepresentation Test (Released 20221013),,,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10,,,,,,
Analyzed List:,upload_1 (Arabidopsis thaliana),,,,,,
Reference List:,Arabidopsis thaliana (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,BONFERRONI,,,,,,
Bonferroni count:,2976,,,,,,
GO biological process complete,Arabidopsis thaliana - REFLIST (27430),upload_1 (103),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value),hierarchy
heat acclimation (GO:0010286),71,8,0.27,+,30.01,1.81E-06,1
cellular response to heat (GO:0034605),77,7,0.29,+,24.21,8.88E-05,1
cellular response to hypoxia (GO:0071456),239,13,0.9,+,14.49,3.56E-08,1
cellular response to decreased oxygen levels (GO:0036294),241,13,0.9,+,14.37,3.93E-08,
cellular response to oxygen levels (GO:0071453),242,13,0.91,+,14.31,4.13E-08,
response to hypoxia (GO:0001666),343,13,1.29,+,10.09,2.54E-06,
response to decreased oxygen levels (GO:0036293),353,13,1.33,+,9.81,3.55E-06,
response to oxygen levels (GO:0070482),355,13,1.33,+,9.75,3.79E-06,
response to heat (GO:0009408),395,14,1.48,+,9.44,1.26E-06,
defense response to bacterium (GO:0042742),1105,28,4.15,+,6.75,2.32E-12,1
defense response to fungus (GO:0050832),930,23,3.49,+,6.59,2.24E-09,1
response to fungus (GO:0009620),1186,27,4.45,+,6.06,1.06E-10,
response to bacterium (GO:0009617),1403,30,5.27,+,5.69,1.44E-11,
response to salt stress (GO:0009651),711,14,2.67,+,5.24,1.60E-03,1
response to oxidative stress (GO:0006979),743,14,2.79,+,5.02,2.67E-03,1
defense response to other organism (GO:0098542),2299,40,8.63,+,4.63,9.28E-14,
response to osmotic stress (GO:0006970),1056,18,3.97,+,4.54,2.70E-04,
response to temperature stimulus (GO:0009266),1311,22,4.92,+,4.47,1.04E-05,
response to external biotic stimulus (GO:0043207),2677,43,10.05,+,4.28,6.40E-14,
response to other organism (GO:0051707),2677,43,10.05,+,4.28,6.40E-14,
response to biotic stimulus (GO:0009607),2680,43,10.06,+,4.27,6.67E-14,
biological process involved in interspecies interaction between organisms (GO:0044419),2691,43,10.1,+,4.26,7.74E-14,
regulation of defense response (GO:0031347),885,14,3.32,+,4.21,1.96E-02,1
cellular response to stress (GO:0033554),1218,19,4.57,+,4.15,4.39E-04,
response to organic cyclic compound (GO:0014070),964,15,3.62,+,4.14,1.08E-02,1
defense response (GO:0006952),2619,40,9.83,+,4.07,7.47E-12,
cellular response to chemical stimulus (GO:0070887),2130,31,8,+,3.88,9.68E-08,
response to external stimulus (GO:0009605),3199,46,12.01,+,3.83,1.95E-13,
cellular response to organic substance (GO:0071310),1649,20,6.19,+,3.23,9.66E-03,1
cellular response to stimulus (GO:0051716),3858,44,14.49,+,3.04,5.01E-09,
response to inorganic substance (GO:0010035),2250,25,8.45,+,2.96,2.18E-03,1
response to stress (GO:0006950),5760,60,21.63,+,2.77,7.23E-13,
response to abiotic stimulus (GO:0009628),4740,46,17.8,+,2.58,3.33E-07,
response to chemical (GO:0042221),5314,50,19.95,+,2.51,8.49E-08,
response to organic substance (GO:0010033),4566,40,17.15,+,2.33,2.27E-04,
response to oxygen-containing compound (GO:1901700),3436,30,12.9,+,2.33,2.20E-02,1
response to stimulus (GO:0050896),9761,77,36.65,+,2.1,3.59E-12,
regulation of cellular process (GO:0050794),6167,43,23.16,+,1.86,4.27E-02,1
cellular process (GO:0009987),15272,80,57.35,+,1.4,1.63E-02,
Unclassified (UNCLASSIFIED),1093,1,4.1,-,0.24,0.00E+00,
