Analysis Type:,PANTHER Overrepresentation Test (Released 20221013),,,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10,,,,,,
Analyzed List:,upload_1 (Arabidopsis thaliana),,,,,,
Reference List:,Arabidopsis thaliana (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,BONFERRONI,,,,,,
Bonferroni count:,2976,,,,,,
GO biological process complete,Arabidopsis thaliana - REFLIST (27430),upload_1 (413),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value),hierarchy
regulation of plant-type hypersensitive response (GO:0010363),28,6,0.42,+,14.23,2.89E-02,1
response to molecule of bacterial origin (GO:0002237),160,33,2.41,+,13.7,7.19E-22,1
regulation of biological process involved in symbiotic interaction (GO:0043903),30,6,0.45,+,13.28,4.09E-02,
plant-type hypersensitive response (GO:0009626),58,10,0.87,+,11.45,1.86E-04,1
programmed cell death induced by symbiont (GO:0034050),59,10,0.89,+,11.26,2.15E-04,
salicylic acid mediated signaling pathway (GO:0009863),83,14,1.25,+,11.2,5.46E-07,1
biological process involved in interaction with symbiont (GO:0051702),61,10,0.92,+,10.89,2.84E-04,
systemic acquired resistance (GO:0009627),119,17,1.79,+,9.49,6.44E-08,1
cellular response to hypoxia (GO:0071456),239,31,3.6,+,8.61,3.74E-15,1
cellular response to decreased oxygen levels (GO:0036294),241,31,3.63,+,8.54,4.64E-15,
programmed cell death (GO:0012501),117,15,1.76,+,8.51,3.80E-06,
cellular response to oxygen levels (GO:0071453),242,31,3.64,+,8.51,5.17E-15,
cellular response to salicylic acid stimulus (GO:0071446),125,16,1.88,+,8.5,1.09E-06,
response to salicylic acid (GO:0009751),418,53,6.29,+,8.42,2.73E-27,
positive regulation of innate immune response (GO:0045089),72,9,1.08,+,8.3,9.64E-03,1
negative regulation of defense response (GO:0031348),81,10,1.22,+,8.2,3.04E-03,1
regulation of defense response (GO:0031347),885,108,13.33,+,8.11,1.05E-58,
positive regulation of immune response (GO:0050778),74,9,1.11,+,8.08,1.18E-02,
positive regulation of immune system process (GO:0002684),74,9,1.11,+,8.08,1.18E-02,
biological process involved in symbiotic interaction (GO:0044403),83,10,1.25,+,8,3.72E-03,
cellular response to organic cyclic compound (GO:0071407),298,35,4.49,+,7.8,3.73E-16,
cell death (GO:0008219),143,16,2.15,+,7.43,6.48E-06,
response to hypoxia (GO:0001666),343,38,5.16,+,7.36,5.99E-17,
defense response to fungus (GO:0050832),930,103,14,+,7.36,5.58E-52,1
regulation of immune response (GO:0050776),127,14,1.91,+,7.32,7.82E-05,
regulation of immune system process (GO:0002682),127,14,1.91,+,7.32,7.82E-05,
regulation of innate immune response (GO:0045088),109,12,1.64,+,7.31,7.87E-04,
regulation of programmed cell death (GO:0043067),91,10,1.37,+,7.3,7.96E-03,
positive regulation of response to biotic stimulus (GO:0002833),110,12,1.66,+,7.25,8.61E-04,
regulation of response to stress (GO:0080134),1018,111,15.33,+,7.24,6.04E-56,
response to decreased oxygen levels (GO:0036293),353,38,5.31,+,7.15,1.47E-16,
response to oxygen levels (GO:0070482),355,38,5.35,+,7.11,1.76E-16,
defense response to bacterium (GO:0042742),1105,117,16.64,+,7.03,3.81E-58,1
positive regulation of response to external stimulus (GO:0032103),114,12,1.72,+,6.99,1.22E-03,
innate immune response (GO:0045087),205,21,3.09,+,6.8,8.99E-08,
positive regulation of defense response (GO:0031349),123,12,1.85,+,6.48,2.58E-03,
response to fungus (GO:0009620),1186,114,17.86,+,6.38,2.05E-52,
immune response (GO:0006955),219,21,3.3,+,6.37,2.78E-07,
regulation of response to biotic stimulus (GO:0002831),230,22,3.46,+,6.35,1.03E-07,
immune system process (GO:0002376),260,24,3.91,+,6.13,2.61E-08,
response to bacterium (GO:0009617),1403,126,21.12,+,5.96,1.01E-55,
regulation of response to external stimulus (GO:0032101),245,22,3.69,+,5.96,3.18E-07,
