Analysis Type:,PANTHER Overrepresentation Test (Released 20221013),,,,,,
Annotation Version and Release Date:,GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10,,,,,,
Analyzed List:,upload_1 (Arabidopsis thaliana),,,,,,
Reference List:,Arabidopsis thaliana (all genes in database),,,,,,
Test Type:,FISHER,,,,,,
Correction:,BONFERRONI,,,,,,
Bonferroni count:,2976,,,,,,
GO biological process complete,Arabidopsis thaliana - REFLIST (27430),upload_1 (102),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value),hierarchy
chlorophyll catabolic process (GO:0015996),38,6,0.14,+,42.46,4.18E-05,1
pigment catabolic process (GO:0046149),48,6,0.18,+,33.62,1.48E-04,
porphyrin-containing compound catabolic process (GO:0006787),50,6,0.19,+,32.27,1.85E-04,
tetrapyrrole catabolic process (GO:0033015),50,6,0.19,+,32.27,1.85E-04,
organic cyclic compound catabolic process (GO:1901361),299,12,1.11,+,10.79,5.67E-06,
aromatic compound catabolic process (GO:0019439),271,10,1.01,+,9.92,2.90E-04,
chlorophyll metabolic process (GO:0015994),204,7,0.76,+,9.23,4.17E-02,
heterocycle catabolic process (GO:0046700),241,8,0.9,+,8.93,1.26E-02,
cellular nitrogen compound catabolic process (GO:0044270),242,8,0.9,+,8.89,1.29E-02,
pigment metabolic process (GO:0042440),358,9,1.33,+,6.76,2.76E-02,
cellular catabolic process (GO:0044248),1081,22,4.02,+,5.47,2.48E-07,
organonitrogen compound catabolic process (GO:1901565),1200,16,4.46,+,3.59,2.99E-02,
organic substance catabolic process (GO:1901575),1939,25,7.21,+,3.47,1.09E-04,
catabolic process (GO:0009056),2266,27,8.43,+,3.2,1.36E-04,
Unclassified (UNCLASSIFIED),1093,1,4.06,-,0.25,0.00E+00,
