"ACP.spec_early","ACP.spec_late","Echo1_early","Echo1_late","Echo2_early","Echo2_late","NACP.spec_early","NACP.spec_late"
"AT1G78860","AT1G61660","AT2G36470","AT5G01550","AT2G26170","AT2G01650","AT1G78940","AT5G47860"
"AT1G15530","AT1G02270","AT1G58300","AT1G52200","AT3G60120","AT5G63680","AT4G36700","AT2G22570"
"AT2G26190","AT1G74750","AT1G08630","AT1G21740","AT5G56510","AT3G61198","AT1G66280","AT2G29070"
"AT3G02550","AT5G27450","AT5G01830","AT2G38340","AT1G35710","AT1G10865","AT2G36780","AT1G68650"
"AT1G66080","AT3G01820","AT5G40000","AT1G17480","AT1G24147","AT4G11840","AT4G04710","AT3G05970"
"AT1G07350","AT2G25240","AT1G16130","AT2G17290","AT1G03230","AT4G20110","AT5G56060","AT2G21187"
"AT2G44578","AT4G01870","AT1G08315","AT3G05710","AT3G51860","AT1G14170","AT1G09500","AT5G19875"
"AT4G16950","AT5G41730","AT5G02290","AT5G03890","AT1G74330","AT5G63030","AT3G11480","AT4G01610"
"AT5G03870","AT4G15200","AT4G39950","AT3G46230","AT5G25050","AT3G24503","AT5G22860","AT5G15860"
"AT5G37420","AT1G22885","AT2G20960","AT2G46500","AT3G59080","AT2G01540","AT3G57010","AT5G26700"
"AT4G15236","AT1G07240","AT1G03770","AT4G33920","AT2G39660","AT2G37440","AT2G28510","AT3G15536"
"AT3G44260","AT1G59740","AT3G53990","AT5G25940","AT5G46710","AT3G14130","AT4G37180","AT1G73650"
"AT1G14040","AT2G47730","AT3G51920","AT5G25930","AT3G57630","AT2G21350","AT2G37870","AT5G01300"
"AT4G38552","AT1G30040","AT4G12040","AT5G63490","AT1G66920","AT5G58940","AT3G03640","AT3G57260"
"AT2G41890","AT1G10280","AT1G74100","AT5G51830","AT2G02220","AT3G51330","AT3G48770","AT1G60830"
"AT1G21010","AT4G17615","AT4G32020","AT1G01340","AT2G29350","AT1G72680","AT4G39190","AT5G13580"
"AT4G30370","AT5G66620","AT1G03730","AT3G25610","AT2G19710","AT1G21310","AT2G40880","AT1G66960"
"AT4G38530","AT1G01690","AT3G21150","AT1G61260","AT5G01540","AT1G34180","AT2G22850","AT4G33360"
"AT2G03540","AT3G52520","AT2G02860","AT1G12760","AT4G15530","AT2G05840","AT5G02020","AT1G09400"
"AT2G47060","AT1G08860","AT4G38550","AT5G09470","AT2G16870","AT5G25820","AT1G74640","AT1G13830"
"AT3G14200","AT1G11100","AT2G44490","AT1G05880","AT3G15760","AT1G20200","AT3G11900","AT4G16690"
"AT1G64710","AT5G66070","AT1G03740","AT1G17830","AT1G51620","AT1G14080","AT1G49900","AT1G23010"
"AT1G21130","AT4G12400","AT1G03495","AT1G76040","AT4G01910","AT3G14430","AT5G42250","AT2G40950"
"AT4G37290","AT1G07400","AT1G56510","AT2G44280","AT1G15010","AT2G27260","AT5G46871","AT3G47810"
"AT5G60350","AT5G03210","AT5G56010","AT2G36580","AT1G62300","AT3G09810","AT5G07010","AT2G25090"
"AT5G56580","AT5G02430","AT5G46470","AT2G21470","AT1G56150","AT3G50650","AT5G10410","AT1G26200"
"AT1G25275","AT3G12580","AT2G46330","AT2G17220","AT5G57010","AT1G76760","AT3G14560","AT5G35080"
"AT5G66900","AT2G46140","AT1G32530","AT1G30100","AT5G40880","AT5G03460","AT1G06570","AT1G65500"
"AT1G63820","AT2G47490","AT1G55450","AT4G23210","AT2G40750","AT5G12890","AT3G10420","AT4G05160"
"AT3G48100","AT1G16520","AT5G44060","AT1G32960","AT1G80300","AT5G47580","AT4G27260","AT1G16510"
"AT2G16500","AT2G46240","AT1G56540","AT5G17060","AT3G50770","AT1G01010","AT4G25000","AT3G56950"
"AT3G22890","AT1G05820","AT3G53260","AT4G40020","AT1G65520","AT1G69610","AT4G36430","AT5G04830"
"AT4G36500","AT4G33925","AT1G61470","AT3G18440","AT2G34610","AT2G02360","AT4G16000","AT2G18950"
"AT4G28350","AT4G39020","AT1G72910","AT5G24810","AT1G62730","AT2G31350","AT4G36040","AT5G61250"
"AT3G04210","AT1G27720","AT4G16860","AT1G25220","AT5G01820","AT1G61490","AT4G23630","AT2G24180"
"AT1G07520","AT3G06370","AT1G56520","AT1G07030","AT5G39660","AT3G47050","AT3G47340","AT5G10760"
"AT5G65630","AT5G67350","AT3G44630","AT1G76970","AT1G64400","AT1G75000","AT5G48020","AT1G27450"
"AT3G10985","AT3G48780","AT1G13210","AT3G50910","AT1G51790","AT1G79450","AT1G77145","AT5G60440"
"AT4G11660","AT4G21865","AT4G16820","AT4G35590","AT3G14620","AT1G17890","AT1G02430","AT3G07520"
"AT2G34650","AT4G37020","AT4G11000","AT2G41440","AT5G47220","AT4G38260","AT5G45510","AT3G22560"
"AT1G59865","AT1G72670","AT5G09876","AT5G67080","AT4G23610","AT1G09740","AT5G62820","AT1G65730"
"AT1G04100","AT1G17060","AT3G56880","AT5G61010","AT4G25900","AT4G13615","AT4G04695","AT4G28060"
"AT1G21070","AT2G29410","AT5G01950","AT1G20510","AT3G56400","AT4G29960","AT2G34940","AT5G34940"
"AT4G40080","AT2G28570","AT3G57640","AT5G57480","AT1G47480","AT5G09290","AT5G19930","AT4G39955"
"AT2G32240","AT5G60930","AT3G25510","AT3G17800","AT3G52480","AT3G55890","AT5G54610","AT3G16565"
"AT2G41880","AT3G21560","AT5G48530","AT3G60800","AT1G77660","AT3G55500","AT5G10870","AT1G24575"
"AT1G77390","AT1G11800","AT5G04340","AT2G04450","AT5G53400","AT5G40720","AT4G22920","AT5G47180"
"AT2G31270","AT4G37370","AT4G23200","AT1G19360","AT3G22400","AT3G51440","AT3G14280","AT4G02280"
"AT5G52740","AT5G64660","AT3G16720","AT4G27500","AT1G71170","AT3G60961","AT1G12940","AT5G16450"
"AT2G41640","AT4G30350","AT3G09520","AT4G35600","AT1G05170","AT5G14230","AT5G27920","AT1G68940"
"AT4G16890","AT5G59820","AT3G20410","AT2G42890","AT5G61430","AT4G22305","AT4G27740","AT3G03480"
"AT5G10830","AT1G10040","AT5G38310","AT1G13540","AT4G01070","AT3G27380","AT4G21800","AT1G48210"
"AT5G58430","AT4G20380","AT4G23030","AT5G64890","AT1G09080","AT3G11230","AT5G53870","AT3G12500"
"AT2G28080","AT2G45770","AT5G48655","AT4G18890","AT3G56440","AT5G18310","AT3G62780","AT3G61280"
"AT5G66480","AT3G49540","AT4G38940","AT2G26400","AT2G32830","AT5G39950","AT1G59640","AT3G27210"
"AT5G65610","AT2G45300","AT4G16960","AT5G23850","AT4G26070","AT4G21980","AT5G02590","AT1G57570"
"AT5G03990","AT5G14760","AT3G50760","AT2G17705","AT4G21500","AT1G04990","AT2G34840","AT4G22680"
"AT5G23510","AT1G25550","AT4G19520","AT2G26300","AT4G00955","AT1G08830","AT4G30870","AT5G07680"
"AT5G20350","AT5G54650","AT4G11280","AT3G19260","AT1G67970","AT3G04090","AT1G21000","AT1G13970"
"AT2G01180","AT2G29500","AT3G23240","AT1G72750","AT3G57700","AT1G53750","AT3G16990","AT3G60160"
"AT1G13110","AT2G16900","AT2G48010","AT1G09935","AT2G44910","AT2G21620","AT3G17000","AT2G44240"
"AT1G32928","AT5G43650","AT1G08930","AT3G05050","AT5G42440","AT3G28540","AT1G18940","AT1G09420"
"AT5G56030","AT2G14290","AT1G72240","AT3G59150","AT1G06002","AT5G37740","AT5G05460","AT5G40230"
"AT1G32920","AT5G35735","AT1G67470","AT3G47090","AT3G51350","AT5G40990","AT4G22670","AT4G29210"
"AT4G29050","AT5G24760","AT4G39640","AT3G11220","AT2G38940","AT2G43080","AT1G03210","AT1G65510"
"AT5G55970","AT4G27950","AT3G23250","AT4G20860","AT5G10380","AT3G09960","AT2G33150","AT5G65090"
"AT2G26150","AT2G28210","AT4G23190","AT1G57630","AT1G12420","AT4G28490","AT3G01080","AT5G01600"
"AT1G63750","AT1G54960","AT2G20142","AT4G12790","AT1G66725","AT4G34050","AT5G64370","AT3G09220"
"AT1G18900","AT4G37030","AT3G45638","AT3G50480","AT4G13040","AT4G28570","AT3G51960","AT2G39420"
"AT1G71000","AT2G15480","AT1G66173","AT3G44550","AT4G14147","AT3G01800","AT4G31230","AT4G14020"
